Ordem;Contrato;Família;Item ;Descrição ;Dt Requisição;Requisição;Requisitante;Dt Aprov Requis;Dt Ordem;Dt Pedido;Pedido  ;Ped Emerg.;Prazo Entrega;Dt Nota Fiscal;Dt Rec. Físico  ;Comprador   ;Qtde;Valor ;Fornecedor   ;Cond Pagto;Grupo de Estoque;Unid Medida;Tipo de Material;Situação do Item;Tipo Controle do Item;Departamento;Nro Ordem Investimento
  8081.57;3958;890;8900059;CORREIA  5V1120 GATES/GOODYEAR                              ;;;0;18/06/2015;07/01/2016;24/07/2015;1.761;Não;0;08/01/2016;11/01/2016;1951145;16;34,12;24052;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8081.58;3958;890;8900128;CORREIA V 09316958 TAMROCK                                  ;;;0;18/06/2015;07/01/2016;24/07/2015;1.761;Não;0;08/01/2016;11/01/2016;1951145;5;13,07;24052;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8081.59;3958;890;8900178;"CORREIA TRAPEZOIDAL ""V"" A53 GATES                           ";;;0;18/06/2015;07/01/2016;24/07/2015;1.761;Não;0;02/02/2016;15/02/2016;1951145;8;9,62;24052;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8081.62;3785;160;1600034;MORDENTE (JAW) 44 MM.  37160025                             ;;;0;18/06/2015;07/01/2016;10/10/2014;133;Não;0;02/02/2016;16/02/2016;1951145;80;178,5;20804;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  2605.00;3956;590;5900525;ROLAMENTO NU2308ECJ SKF                                     ;31/12/2015;1951575;13.866;07/01/2016;07/01/2016;08/07/2015;3.349;Não;0;18/01/2016;02/02/2016;1951145;1;123,2;2621;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  2605.01;3939;590;5900089;ROLAMENTO 22315CCW33 SKF                                    ;31/12/2015;1951575;13.866;07/01/2016;07/01/2016;08/07/2015;1.210;Não;0;06/01/2016;27/01/2016;1951145;1;351,5;2132;9 - 30 D;10;PC;Material;Ativo   ;Total   ;0;
  8081.74;3785;160;1600272;CABECA D'AGUA FB-07-059/REV.0                               ;;;0;18/06/2015;07/01/2016;10/10/2014;133;Não;0;16/02/2016;04/03/2016;1951145;2;470,1585;20804;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  8081.81;2381;252;2523097;SILENCIADOR 797598727 SANDVIK                               ;;;0;18/06/2015;07/01/2016;01/10/2012;203;Não;0;28/01/2016;09/02/2016;1951145;3;221,6025;4237;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
  2605.03;2381;996;2528347;BOMBA HIDRAULICA 55039471 SANDVIK                           ;30/12/2015;1999950;13.781;06/01/2016;07/01/2016;01/10/2012;203;Não;0;08/01/2016;13/01/2016;1951145;1;4.290,07;4237;28 - 28 ;85;PC;Material;Ativo   ;Total   ;0;
  8081.87;2381;252;2522470;CORREIA DO MOTOR 55076238 SANDVIK                           ;;;0;18/06/2015;07/01/2016;01/10/2012;203;Não;0;18/01/2016;03/02/2016;1951145;3;289,267;4237;28 - 28 ;10;PC;Material;Ativo   ;Total   ;0;
